algorithm,silhouette_score,davies_bouldin_score,execution_time
AgglomerativeClustering,0.271123110514088,1.27902280364379,0.024578771591186523
DBSCAN,-1.0,-1.0,0.030018415451049805
KMeans_k=3,0.3577372751752285,0.9952971989394287,0.021908068656921388
