algorithm,silhouette_score,davies_bouldin_score,execution_time
KMeans_k=3,0.3577372751752285,0.9952971989394287,0.9261608123779297
AgglomerativeClustering,0.271123110514088,1.27902280364379,0.036200761795043945
DBSCAN,-1.0,-1.0,0.03025531768798828
KMeans_k=3,0.3577372751752285,0.9952971989394287,0.003961801528930664
AgglomerativeClustering,0.271123110514088,1.27902280364379,0.023146629333496094
DBSCAN,-1.0,-1.0,0.022814035415649414
KMeans_k=3,0.3577372751752285,0.9952971989394287,0.002974987030029297
AgglomerativeClustering,0.271123110514088,1.27902280364379,0.021373271942138672
DBSCAN,-1.0,-1.0,0.02944159507751465
KMeans_k=3,0.3577372751752285,0.9952971989394287,0.0024836063385009766
AgglomerativeClustering,0.271123110514088,1.27902280364379,0.02732396125793457
DBSCAN,-1.0,-1.0,0.026818513870239258
KMeans_k=3,0.3577372751752285,0.9952971989394287,0.003813505172729492
AgglomerativeClustering,0.271123110514088,1.27902280364379,0.023210525512695312
DBSCAN,-1.0,-1.0,0.029533863067626953
KMeans_k=3,0.3577372751752285,0.9952971989394287,0.0029141902923583984
AgglomerativeClustering,0.271123110514088,1.27902280364379,0.02762317657470703
DBSCAN,-1.0,-1.0,0.026951313018798828
KMeans_k=3,0.3577372751752285,0.9952971989394287,0.0038805007934570312
AgglomerativeClustering,0.271123110514088,1.27902280364379,0.027399539947509766
DBSCAN,-1.0,-1.0,0.03354525566101074
KMeans_k=3,0.3577372751752285,0.9952971989394287,0.003220796585083008
AgglomerativeClustering,0.271123110514088,1.27902280364379,0.026111125946044922
DBSCAN,-1.0,-1.0,0.03167271614074707
KMeans_k=3,0.3577372751752285,0.9952971989394287,0.0032045841217041016
AgglomerativeClustering,0.271123110514088,1.27902280364379,0.023039817810058594
DBSCAN,-1.0,-1.0,0.024485111236572266
KMeans_k=3,0.3577372751752285,0.9952971989394287,0.0036079883575439453
AgglomerativeClustering,0.271123110514088,1.27902280364379,0.021686792373657227
DBSCAN,-1.0,-1.0,0.029572486877441406
KMeans_k=3,0.3577372751752285,0.9952971989394287,0.002917766571044922
AgglomerativeClustering,0.271123110514088,1.27902280364379,0.018790006637573242
DBSCAN,-1.0,-1.0,0.027911901473999023
KMeans_k=3,0.3577372751752285,0.9952971989394287,0.0037851333618164062
AgglomerativeClustering,0.271123110514088,1.27902280364379,0.023911237716674805
DBSCAN,-1.0,-1.0,0.02899169921875
KMeans_k=3,0.3577372751752285,0.9952971989394287,0.0029404163360595703
AgglomerativeClustering,0.271123110514088,1.27902280364379,0.020077228546142578
DBSCAN,-1.0,-1.0,0.028585195541381836
KMeans_k=3,0.3577372751752285,0.9952971989394287,0.0034623146057128906
AgglomerativeClustering,0.271123110514088,1.27902280364379,0.021629810333251953
DBSCAN,-1.0,-1.0,0.028346538543701172
KMeans_k=3,0.3577372751752285,0.9952971989394287,0.0035810470581054688
AgglomerativeClustering,0.271123110514088,1.27902280364379,0.019195556640625
DBSCAN,-1.0,-1.0,0.026696205139160156
KMeans_k=3,0.3577372751752285,0.9952971989394287,0.004063844680786133
AgglomerativeClustering,0.271123110514088,1.27902280364379,0.02276778221130371
DBSCAN,-1.0,-1.0,0.030385494232177734
KMeans_k=3,0.3577372751752285,0.9952971989394287,0.0029761791229248047
AgglomerativeClustering,0.271123110514088,1.27902280364379,0.021091222763061523
DBSCAN,-1.0,-1.0,0.025101184844970703
KMeans_k=3,0.3577372751752285,0.9952971989394287,0.003025054931640625
AgglomerativeClustering,0.271123110514088,1.27902280364379,0.024317264556884766
DBSCAN,-1.0,-1.0,0.029311180114746094
KMeans_k=3,0.3577372751752285,0.9952971989394287,0.003417491912841797
AgglomerativeClustering,0.271123110514088,1.27902280364379,0.027126550674438477
DBSCAN,-1.0,-1.0,0.03027176856994629
KMeans_k=3,0.3577372751752285,0.9952971989394287,0.0030052661895751953
AgglomerativeClustering,0.271123110514088,1.27902280364379,0.022243261337280273
DBSCAN,-1.0,-1.0,0.02867603302001953
KMeans_k=3,0.3577372751752285,0.9952971989394287,0.003961086273193359
AgglomerativeClustering,0.271123110514088,1.27902280364379,0.02413654327392578
DBSCAN,-1.0,-1.0,0.033625125885009766
KMeans_k=3,0.3577372751752285,0.9952971989394287,0.0029621124267578125
AgglomerativeClustering,0.271123110514088,1.27902280364379,0.019851207733154297
DBSCAN,-1.0,-1.0,0.03367447853088379
KMeans_k=3,0.3577372751752285,0.9952971989394287,0.003427267074584961
AgglomerativeClustering,0.271123110514088,1.27902280364379,0.0240938663482666
DBSCAN,-1.0,-1.0,0.031030654907226562
KMeans_k=3,0.3577372751752285,0.9952971989394287,0.0030221939086914062
AgglomerativeClustering,0.271123110514088,1.27902280364379,0.021693706512451172
DBSCAN,-1.0,-1.0,0.03372502326965332
KMeans_k=3,0.3577372751752285,0.9952971989394287,0.0032401084899902344
AgglomerativeClustering,0.271123110514088,1.27902280364379,0.028699874877929688
DBSCAN,-1.0,-1.0,0.026209115982055664
KMeans_k=3,0.3577372751752285,0.9952971989394287,0.003808736801147461
AgglomerativeClustering,0.271123110514088,1.27902280364379,0.018933534622192383
DBSCAN,-1.0,-1.0,0.029788970947265625
KMeans_k=3,0.3577372751752285,0.9952971989394287,0.0035598278045654297
AgglomerativeClustering,0.271123110514088,1.27902280364379,0.019493818283081055
DBSCAN,-1.0,-1.0,0.04343819618225098
KMeans_k=3,0.3577372751752285,0.9952971989394287,0.005183219909667969
AgglomerativeClustering,0.271123110514088,1.27902280364379,0.035904645919799805
DBSCAN,-1.0,-1.0,0.0359499454498291
KMeans_k=3,0.3577372751752285,0.9952971989394287,0.005610227584838867
AgglomerativeClustering,0.271123110514088,1.27902280364379,0.0340118408203125
DBSCAN,-1.0,-1.0,0.031285762786865234
KMeans_k=3,0.3577372751752285,0.9952971989394287,0.003819704055786133
AgglomerativeClustering,0.271123110514088,1.27902280364379,0.036504507064819336
DBSCAN,-1.0,-1.0,0.0285489559173584
KMeans_k=3,0.3577372751752285,0.9952971989394287,0.0034351348876953125
AgglomerativeClustering,0.271123110514088,1.27902280364379,0.030612468719482422
DBSCAN,-1.0,-1.0,0.029977798461914062
KMeans_k=3,0.3577372751752285,0.9952971989394287,0.003634929656982422
AgglomerativeClustering,0.271123110514088,1.27902280364379,0.028950214385986328
DBSCAN,-1.0,-1.0,0.029491901397705078
KMeans_k=3,0.3577372751752285,0.9952971989394287,0.003854990005493164
AgglomerativeClustering,0.271123110514088,1.27902280364379,0.022895097732543945
DBSCAN,-1.0,-1.0,0.0285036563873291
KMeans_k=3,0.3577372751752285,0.9952971989394287,0.0037641525268554688
AgglomerativeClustering,0.271123110514088,1.27902280364379,0.023131847381591797
DBSCAN,-1.0,-1.0,0.03543663024902344
KMeans_k=3,0.3577372751752285,0.9952971989394287,0.003112316131591797
AgglomerativeClustering,0.271123110514088,1.27902280364379,0.02249622344970703
